Cidade,Data,Temperatura,Precipitação
Berlim,10/03/2024,5,9
Tóquio,11/03/2024,2,18
Tóquio,12/03/2024,29,2
Londres,13/03/2024,35,17
Londres,14/03/2024,37,12
Tóquio,15/03/2024,13,18
Paris,16/03/2024,21,2
Berlim,17/03/2024,35,20
Sydney,18/03/2024,3,15
Londres,19/03/2024,3,8
Paris,20/03/2024,15,18
Tóquio,21/03/2024,10,18
Londres,22/03/2024,28,7
Buenos Aires,23/03/2024,27,9
Sydney,24/03/2024,22,8
Londres,25/03/2024,38,5
Nova York,26/03/2024,27,18
Berlim,27/03/2024,27,12
Buenos Aires,28/03/2024,25,19
Paris,29/03/2024,36,19
Tóquio,30/03/2024,7,3
São Paulo,31/03/2024,26,2
Buenos Aires,01/04/2024,12,0
Tóquio,02/04/2024,30,16
Tóquio,03/04/2024,23,11
São Paulo,04/04/2024,13,6
São Paulo,05/04/2024,10,7
São Paulo,06/04/2024,11,15
São Paulo,07/04/2024,5,16
Londres,08/04/2024,23,3
Tóquio,09/04/2024,13,6
Londres,10/04/2024,33,3
Berlim,11/04/2024,21,1
Londres,12/04/2024,16,8
Paris,13/04/2024,16,12
São Paulo,14/04/2024,15,19
Sydney,15/04/2024,33,4
Paris,16/04/2024,7,17
Sydney,17/04/2024,15,8
Londres,18/04/2024,14,14
Buenos Aires,19/04/2024,6,10
Paris,20/04/2024,20,7
Tóquio,21/04/2024,35,18
Buenos Aires,22/04/2024,34,11
Londres,23/04/2024,10,4
Buenos Aires,24/04/2024,3,11
Londres,25/04/2024,12,2
Nova York,26/04/2024,18,3
Londres,27/04/2024,31,6
Nova York,28/04/2024,36,7
Berlim,29/04/2024,35,6
Londres,30/04/2024,23,12
Buenos Aires,01/05/2024,5,18
Buenos Aires,02/05/2024,25,10
Sydney,03/05/2024,37,19
Nova York,04/05/2024,38,13
Berlim,05/05/2024,7,11
Nova York,06/05/2024,39,13
Sydney,07/05/2024,2,1
Nova York,08/05/2024,22,9
Sydney,09/05/2024,9,2
Nova York,10/05/2024,23,1
Berlim,11/05/2024,1,8
Tóquio,12/05/2024,33,4
Tóquio,13/05/2024,32,13
Paris,14/05/2024,8,4
Tóquio,15/05/2024,11,3
Sydney,16/05/2024,25,6
Berlim,17/05/2024,38,0
Berlim,18/05/2024,20,7
Paris,19/05/2024,11,13
Londres,20/05/2024,1,5
Tóquio,21/05/2024,26,5
Londres,22/05/2024,39,3
Londres,23/05/2024,12,1
Sydney,24/05/2024,9,4
Nova York,25/05/2024,28,12
Nova York,26/05/2024,31,17
Tóquio,27/05/2024,4,1
São Paulo,28/05/2024,18,17
Paris,29/05/2024,25,20
Paris,30/05/2024,36,5
São Paulo,31/05/2024,22,0
Paris,01/06/2024,24,1
Nova York,02/06/2024,35,20
Londres,03/06/2024,19,20
Tóquio,04/06/2024,32,11
Sydney,05/06/2024,38,7
Londres,06/06/2024,17,19
Sydney,07/06/2024,30,19
Berlim,08/06/2024,15,15
Londres,09/06/2024,13,10
Buenos Aires,10/06/2024,11,13
Nova York,11/06/2024,33,14
Tóquio,12/06/2024,39,20
Nova York,13/06/2024,34,16
Berlim,14/06/2024,26,3
Tóquio,15/06/2024,22,5
Nova York,16/06/2024,29,8
Buenos Aires,17/06/2024,26,9
Berlim,10/03/2024,20,13
Tóquio,11/03/2024,13,16
Tóquio,12/03/2024,6,5
Nova York,13/03/2024,31,13
Buenos Aires,14/03/2024,13,4
Paris,15/03/2024,37,13
Sydney,16/03/2024,7,8
Sydney,17/03/2024,32,18
Paris,18/03/2024,11,7
Sydney,19/03/2024,27,11
Nova York,20/03/2024,31,13
Sydney,21/03/2024,30,11
Nova York,22/03/2024,9,8
Paris,23/03/2024,36,17
Nova York,24/03/2024,14,13
Sydney,25/03/2024,28,15
Berlim,26/03/2024,35,0
Nova York,27/03/2024,21,18
Paris,28/03/2024,21,12
Tóquio,29/03/2024,9,11
Paris,30/03/2024,19,10
Berlim,31/03/2024,35,20
Buenos Aires,01/04/2024,6,15
Tóquio,02/04/2024,29,13
Sydney,03/04/2024,28,19
São Paulo,04/04/2024,35,10
Londres,05/04/2024,27,8
Sydney,06/04/2024,23,20
Sydney,07/04/2024,0,15
Tóquio,08/04/2024,2,9
Berlim,09/04/2024,1,2
Paris,10/04/2024,11,16
Tóquio,11/04/2024,6,2
Buenos Aires,12/04/2024,19,11
Paris,13/04/2024,5,8
Nova York,14/04/2024,12,19
São Paulo,15/04/2024,2,3
Londres,16/04/2024,3,18
Paris,17/04/2024,34,16
Buenos Aires,18/04/2024,29,15
São Paulo,19/04/2024,8,7
Berlim,20/04/2024,10,0
Sydney,21/04/2024,10,19
São Paulo,22/04/2024,8,3
Sydney,23/04/2024,25,6
Sydney,24/04/2024,2,2
Londres,25/04/2024,15,10
Nova York,26/04/2024,12,6
Tóquio,27/04/2024,10,5
Nova York,28/04/2024,33,13
Londres,29/04/2024,26,12
Sydney,30/04/2024,11,18
Nova York,01/05/2024,14,2
São Paulo,02/05/2024,40,1
São Paulo,03/05/2024,5,7
Paris,04/05/2024,1,7
Londres,05/05/2024,15,13
Berlim,06/05/2024,1,19
Nova York,07/05/2024,24,13
São Paulo,08/05/2024,16,2
Nova York,09/05/2024,16,1
Tóquio,10/05/2024,40,20
Sydney,11/05/2024,5,2
Buenos Aires,12/05/2024,1,4
Paris,13/05/2024,0,15
Sydney,14/05/2024,5,10
Paris,15/05/2024,23,2
Nova York,16/05/2024,34,1
Paris,17/05/2024,24,5
Berlim,18/05/2024,22,5
Berlim,19/05/2024,18,12
Berlim,20/05/2024,5,10
Tóquio,21/05/2024,11,3
São Paulo,22/05/2024,19,1
Sydney,23/05/2024,6,18
Buenos Aires,24/05/2024,2,6
Londres,25/05/2024,30,15
Paris,26/05/2024,22,17
Nova York,27/05/2024,39,7
Paris,28/05/2024,23,9
Paris,29/05/2024,30,10
Buenos Aires,30/05/2024,32,16
São Paulo,31/05/2024,31,19
Tóquio,01/06/2024,7,11
Sydney,02/06/2024,10,15
Buenos Aires,03/06/2024,25,20
Sydney,04/06/2024,24,20
Buenos Aires,05/06/2024,40,6
Tóquio,06/06/2024,10,14
Sydney,07/06/2024,14,14
Londres,08/06/2024,2,17
Paris,09/06/2024,17,19
Berlim,10/06/2024,22,3
Tóquio,11/06/2024,17,20
Sydney,12/06/2024,29,6
Tóquio,13/06/2024,15,17
Londres,14/06/2024,7,16
Tóquio,15/06/2024,20,4
Nova York,16/06/2024,7,2
Buenos Aires,17/06/2024,30,12
